name,trip_count,route_count,geometry
Ayurvedic Hospital Bodhanahosahalli,157,42,POINT (77.8004 12.96969)
Ayyappa School Kereguddadahalli,9,3,POINT (77.517 13.07468)
Ayyappa Temple Jalahalli Cross,15,11,POINT (77.52243 13.04623)
Ayyappa Temple Yashawanthapura,10,4,POINT (77.56321 13.02167)
Ayyappaswamy Temple Madivala,9,3,POINT (77.61791 12.92478)
Aziz Palya,2,1,POINT (77.36688 13.02721)
B Channasandra,89,16,POINT (77.6576 13.0102)
B Channasandra Bridge(Ramamurthy Nagara Ring Road),170,49,POINT (77.66199 13.01229)
B Hosur Circle,2,2,POINT (77.4482 12.74247)
B Marenahalli,4,1,POINT (77.73759 13.16635)
B Narayanapura,24,11,POINT (77.68399 13.00039)
B Narayanapura Ring Road,32,15,POINT (77.68387 12.99589)
B Palya Razakapalya,59,9,POINT (77.6594 13.14436)
BCMC Layout Raghuvanahalli,11,3,POINT (77.54947 12.87833)
BDA Complex Banashankari 2nd Stage,10,3,POINT (77.56464 12.92448)
BDA Complex Cross Nagarabhavi,64,28,POINT (77.51293 12.97211)
BDA Complex HSR Layout,1,1,POINT (77.63807 12.91296)
BDA Complex Koramangala,32,18,POINT (77.62221 12.93094)
BDA Complex Nagarabhavi,148,20,POINT (77.51073 12.97938)
BDA Park Bande Maramma Temple,27,6,POINT (77.5148 12.96948)
BDS Nagara,3,2,POINT (77.64308 13.0657)
BEL Circle,783,173,POINT (77.55669 13.0452)
BEL Factory,4,1,POINT (77.55861 13.04887)
BEL Hospital,23,7,POINT (77.55745 13.05064)
BEL Market,8,3,POINT (77.55192 13.05189)
BEL Market 1,1,1,POINT (77.55193 13.05192)
BEML Complex,43,18,POINT (77.52033 12.91952)
BEML Gate,2,2,POINT (77.65859 12.97146)
BEML Layout 5th stage,19,7,POINT (77.52137 12.90685)
BEML Layout Gate,8,4,POINT (77.7165 12.96054)
BGS College Chikkaballapura,4,1,POINT (77.72662 13.39551)
BGS College Gate Devagere,4,3,POINT (77.46868 12.84759)
BGS Health City,4,1,POINT (77.49819 12.90313)
BGS Health City Gate Abhiman Studio,113,23,POINT (77.49909 12.90714)
BGS International Residential School,22,4,POINT (77.46205 12.84663)
BGS PU College Thotagere,50,11,POINT (77.45146 13.14427)
BGS School Banandur,29,1,POINT (77.39727 12.77952)
BHEL,143,37,POINT (77.66026 12.8452)
BHEL Layout,16,8,POINT (77.50835 12.91624)
BHEL Layout Cross,54,13,POINT (77.51305 12.91617)
BHEL Layout Maramma Temple,3,2,POINT (77.5088 12.92192)
BHEL Layout Water Tank,38,9,POINT (77.50906 12.91895)
BK Circle,43,20,POINT (77.58309 12.87056)
BME-1 NICE Road,3,2,POINT (77.53196 12.91947)
BME-2 NICE Road,5,2,POINT (77.51352 12.89334)
BMSIT College Campous Yelahanka,7,3,POINT (77.56811 13.1337)
BMTC Training Centre,21,4,POINT (77.44837 13.01991)
BN Bachegowda Badavane,6,2,POINT (77.84542 12.9627)
BN Bachegowda Badavane Colony,18,9,POINT (77.84504 12.96279)
BP Indian School Nelamangala,10,4,POINT (77.37555 13.08764)
BPL,42,13,POINT (77.74828 12.98525)
BRV Talkies Cubbon Road,6,3,POINT (77.60273 12.97911)
BTL College,54,16,POINT (77.69485 12.81185)
BTM Layout 16th Main,8,4,POINT (77.60912 12.91662)
BTM Layout Water Tank,111,33,POINT (77.60718 12.91667)
BTR Garden,3,3,POINT (77.64662 12.89028)
BTS Layout Basaveshwaranagara,5,3,POINT (77.48056 12.97707)
BUC ADM Block,112,22,POINT (77.50086 12.95005)
BUC Ladies Hostel,8,4,POINT (77.5061 12.94174)
BUC Library,29,15,POINT (77.50421 12.9443)
BUC Quarters,9,3,POINT (77.49917 12.95203)
BWSSB Quarters Nayandahalli,120,53,POINT (77.5236 12.93987)
BWSSB Tavarekere,19,5,POINT (77.39937 12.97007)
Babusabpalya,11,7,POINT (77.64721 13.02274)
Babusabpalya 302,21,4,POINT (77.64747 13.02285)
Bachahalli Gate,38,13,POINT (77.6732 13.21219)
Bachenahatti,1,1,POINT (77.30408 12.95476)
Badekatte,9,5,POINT (77.48975 12.81806)
Bagalagunte,184,26,POINT (77.50735 13.05665)
Bagalur,26,10,POINT (77.6679 13.1346)
Bagalur Colony,18,8,POINT (77.67118 13.14146)
Bagalur Cross,276,71,POINT (77.61129 13.12175)
Bagalur Santhe,169,28,POINT (77.66675 13.13351)
Baglur Old police Station,35,10,POINT (77.6667 13.12977)
Bagmane Tech Park,2,1,POINT (77.65642 12.98076)
